"Priority","Group","Name"
"000000000","PRE-FLIGHT","INTERIOR INSPECTION (T-90)"
"000000001","PRE-FLIGHT","BATTERY CHECK (T-50)"
"000000002","PRE-FLIGHT","FUEL CELL CHECK (T-45)"
"000000003","PRE-FLIGHT","SQUIB & ABORT CHECK (T-40)"
"000000004","PRE-FLIGHT","FULL INTERNAL POWER (T-15)"
"000000005","PRE-FLIGHT","PRE-FLIGHT (T-5)"
"000000011","EMERGENCY","Abort Mode I"
"000000011","ORBITING","SET HF RADIO"
"000000012","ORBITING","SEF"
"000000012","EMERGENCY","Abort Mode I-II"
"000000013","EMERGENCY","Abort Mode II"
"000000013","ORBITING","BEF"
"000000014","EMERGENCY","Abort Mode III"
"000000014","ORBITING","PLATFORM ALIGN"
"000000015","ORBITING","CIRCULARIZE ORBIT"
"000000016","ORBITING","ORBITING"
"000000017","ORBITING","POWER DOWN"
"000000018","ORBITING","POWER UP"
"000000021","FLIGHT MODES","RATE COMMAND MODE"
"000000021","ASCENT","Ascent"
"000000022","FLIGHT MODES","ENABLE OAMS"
"000000022","FLIGHT MODES","MANUAL PULSE"
"000000023","FLIGHT MODES","Enable RCS"
"000000031","INSERTION","INSERTION"
"000000031","R&D","Rendezvous"
"000000032","R&D","Docking"
"000000033","R&D","POST-DOCKING"
"000000034","R&D","Undocking"
"000000041","ENTRY","PRE RETRO"
"000000042","ENTRY","256 SEC TO RETRO"
"000000043","ENTRY","1 MIN TO RETRO"
"000000044","ENTRY","POST RETRO JETTISON"
"000000045","ENTRY","ENTRY"
"000000050","LANDING","Landing"
"000000051","LANDING","POST LANDING"
"000000051","EVA","PRE-EVA"
"000000052","EVA","DEPRESS-EGRESS"
"000000053","EVA","POST-EVA"
"000000061","AGENA","AGENA COMMANDS"
"000000070","OBC","MEMORY CORE"
