"Priority","Group","Name"
"000000010","PRE-LAUNCH","Pre-Launch Closeout"
"000000110","ACTIVATION","Intravehicular Transfer"
"000000111","ACTIVATION","Initial Setup"
"000000112","ACTIVATION","EPS ACTIVATION & CHECKOUT"
"000000113","ACTIVATION","PRIMARY GLYCOL LOOP ACTIVATION"
"000000114","ACTIVATION","CIRCUIT BREAKERS"
"000000115","ACTIVATION","PRIMARY SUBLIMATOR"
"000000116","ACTIVATION","LIGHTING"
"000000117","ACTIVATION","CAUTION & WARNING"
"000000118","ACTIVATION","TIMERS"
"000000119","ACTIVATION","ECS ACTIVATION & CHECKOUT"
"000000120","ACTIVATION","Communication"
"000000121","ACTIVATION","ASCENT BATTERIES"
"000000123","ACTIVATION","APS & DPS Prepressurization"
"000000124","ACTIVATION","DPS PRESSURIZATION"
"000000125","ACTIVATION","RCS PRESSURIZATION"
"000000126","ACTIVATION","RCS HOTCOLD FIRING"
"000000127","ACTIVATION","LANDING GEAR DEPLOY"
"000000201","LUNAR DESCENT","LM UNDOCKING FROM CSM"
"000000202","LUNAR DESCENT","P63 - BRAKING PHASE"
"000000203","LUNAR DESCENT","P64 - APPROACH PHASE"
"000000204","LUNAR DESCENT","P66 - LANDING PHASE"
"000000205","LUNAR DESCENT","P68 - LANDING CONFIRMATION"
"000000300","LUNAR ASCENT","P12 LUNAR ASCENT"
"000000310","LUNAR ASCENT","P20 Rendezvous Navigation"
"000000320","LUNAR ASCENT","Simplified Rendezvous"
"000000330","LUNAR ASCENT","LM DOCKING"
"000000500","LUNAR STAY","EPS Check"
"000000510","LUNAR STAY","Subsystems Check"
"000000520","LUNAR STAY","EVA Preparations"
"000000530","LUNAR STAY","Egress"
"000000540","LUNAR STAY","Post-EVA check"
"000001101","G&C GENERAL","LGC Power-UpDown"
"000001102","G&C GENERAL","LGC Fresh Start"
"000001103","G&C GENERAL","IMU Power Up"
"000001104","G&C GENERAL","DAP Setup"
"000001105","G&C GENERAL","Crew-Defined Maneuver Routine"
"000001201","EPS","EPS Basic (Unstaged)"
"000001202","EPS","EPS Basic (Staged)"
"000001203","EPS","Prepare DPS BURN"
"000001204","EPS","Post DPS-Burn"
"000001205","EPS","Periodic Mon (Unstaged)"
"000001206","EPS","Periodic Mon (Staged)"
"000001207","EPS","Lunar Stay Btry Mngt"
"000001301","MPS","MPS BASIC (Unstaged)"
"000001302","MPS","MPS BASIC (Staged)"
"000001303","MPS","APSRCS Propellant Interconnect"
"000001304","MPS","DPS PERIODIC MONITORING"
"000001305","MPS","APS PERIODIC MONITORING"
"000001306","MPS","RCS PERIODIC MONITORING"
"000001310","MPS","DESCENT ENGINE ONOFF"
"000001320","MPS","P30 - EXTERNAL ΔV"
"000001330","MPS","P41 - RCS THRUST"
"000001401","RADAR","RNDZ RADAR POWER-UP"
"000001402","RADAR","RNDZ RADAR CHECKOUT"
"000001403","RADAR","LANDING RADAR POWER-UP"
"000001404","RADAR","LANDING RADAR CHECKOUT"
"000001501","STAGING","DPS PRPLNT VENTING"
"000001510","STAGING","DPS SUPCRIT He VENT"
"000001520","STAGING","APS PRESSURIZATION"
"000001530","STAGING","EPS PRESTAGE CHECK"
"000001540","STAGING","ED PRESTAGING CHECK"
"000001610","ECS","ECS Basic (Unstaged)"
"000001620","ECS","ECS Basic (Staged)"
"000001630","ECS","Periodic Mon (unstaged)"
"000001640","ECS","Periodic Mon (staged)"
"000001660","ECS","Activate Sec Cool Loop"
"000001670","ECS","Cabin Depress"
"000001680","ECS","Cabin Repress"
"000002000","Lunar Roving Vehicle","Post Deployment Checkout"
"000002001","Lunar Roving Vehicle","Pre Sortie Checkout"
"000002002","Lunar Roving Vehicle","Config. for Science Stop"
"000002003","Lunar Roving Vehicle","Display Reading Seq."
"000002004","Lunar Roving Vehicle","Payload Loading"
"000002005","Lunar Roving Vehicle","Post Sortie Checkout"
